horn_length,group
25.2,alive
26.9,alive
26.6,alive
25.6,alive
25.7,alive
25.9,alive
27.3,alive
25.1,alive
30.3,alive
25.6,alive
26.0,alive
24.6,alive
25.6,alive
25.3,alive
23.5,alive
24.5,alive
23.3,alive
26.0,alive
23.9,alive
27.3,alive
25.4,alive
25.5,alive
21.4,alive
23.8,alive
25.5,alive
19.2,alive
20.7,alive
19.2,alive
25.5,alive
20.5,alive
20.6,alive
24.9,alive
23.7,alive
23.4,alive
25.6,alive
26.6,alive
27.7,alive
25.7,alive
27.0,alive
26.5,alive
25.0,alive
19.7,alive
27.1,alive
23.0,alive
22.7,alive
25.8,alive
28.8,alive
23.5,alive
23.2,alive
25.3,alive
23.8,alive
25.1,alive
26.7,alive
27.1,alive
22.5,alive
25.5,alive
24.4,alive
25.6,alive
20.6,alive
25.5,alive
24.5,alive
23.0,alive
27.6,alive
27.3,alive
20.7,alive
26.0,alive
25.1,alive
19.9,alive
23.5,alive
24.8,alive
22.4,alive
24.7,alive
27.5,alive
21.5,alive
24.0,alive
22.4,alive
21.3,alive
25.0,alive
24.3,alive
24.5,alive
23.6,alive
21.1,alive
25.6,alive
26.1,alive
23.7,alive
24.2,alive
23.2,alive
26.5,alive
28.1,alive
24.1,alive
29.5,alive
24.0,alive
26.8,alive
25.8,alive
23.3,alive
22.4,alive
24.2,alive
26.1,alive
23.2,alive
21.7,alive
24.7,alive
21.4,alive
18.5,alive
23.2,alive
NA,alive
21.5,alive
29.1,alive
21.7,alive
23.5,alive
23.0,alive
20.0,alive
21.9,alive
27.4,alive
27.1,alive
23.1,alive
23.8,alive
26.5,alive
27.0,alive
26.4,alive
26.3,alive
20.6,alive
24.5,alive
22.8,alive
25.5,alive
25.3,alive
28.0,alive
20.8,alive
25.9,alive
24.0,alive
22.5,alive
26.3,alive
23.3,alive
24.5,alive
21.6,alive
23.6,alive
23.0,alive
22.4,alive
27.4,alive
25.0,alive
23.9,alive
28.2,alive
27.2,alive
13.1,alive
22.9,alive
26.6,alive
25.8,alive
26.3,alive
20.9,alive
25.6,alive
24.8,alive
19.2,alive
27.4,alive
24.2,alive
15.7,alive
17.7,alive
21.4,dead
23.9,dead
23.2,dead
22.6,dead
22.5,dead
19.3,dead
23.5,dead
23.4,dead
19.0,dead
21.7,dead
20.2,dead
26.7,dead
21.7,dead
21.0,dead
23.9,dead
24.6,dead
21.6,dead
25.3,dead
25.0,dead
25.2,dead
15.2,dead
22.9,dead
21.4,dead
23.9,dead
17.2,dead
15.5,dead
22.0,dead
22.0,dead
23.1,dead
20.7,dead
