Specimen,Measurement,Femur_length
1,1,0.26
1,2,0.26
2,1,0.23
2,2,0.19
3,1,0.25
3,2,0.23
4,1,0.26
4,2,0.26
5,1,0.23
5,2,0.22
6,1,0.23
6,2,0.23
7,1,0.22
7,2,0.23
8,1,0.21
8,2,0.28
9,1,0.24
9,2,0.26
10,1,0.24
10,2,0.2
11,1,0.29
11,2,0.25
12,1,0.23
12,2,0.23
13,1,0.18
13,2,0.19
14,1,0.27
14,2,0.24
15,1,0.23
15,2,0.29
16,1,0.23
16,2,0.23
17,1,0.14
17,2,0.15
18,1,0.19
18,2,0.19
19,1,0.31
19,2,0.27
20,1,0.23
20,2,0.24
21,1,0.16
21,2,0.15
22,1,0.22
22,2,0.2
23,1,0.19
23,2,0.18
24,1,0.21
24,2,0.21
25,1,0.19
25,2,0.2
